,word1,word2,feq
655,일요일,수요일,7
656,수요일,목요일,7
657,목요일,화요일,7
658,옵션,제공,7
659,회복,기대감,7
660,카드,빅데이터연구소,7
661,빅데이터연구소,데이터,7
662,혜택,제공,7
663,파르나스,나스,7
664,여성,명과,7
665,유명,유튜버,7
666,춘천,머리카락,7
667,춘천,음식값,7
668,인신,인신공격,7
669,인신공격,공격,7
670,비빔,비빔국수,7
671,치맥,페스티벌,7
672,코엑스,엑스,7
673,운동장,일원,7
674,친환경,환경,7
675,영광,영광군,7
676,인천,남동,7
677,남동,남동구,7
678,다양,콘셉트,7
679,사진,공개,7
680,파인,다이닝,7
681,머니,구단,7
682,구단,구단비,7
683,메뉴,제공,7
684,명물,명물거리,7
685,농심,비건,7
686,벚꽃,벚꽃길,7
687,마량항,중방파제,7
688,중방파제,방파제,7
689,선정,거주,7
690,거주,거주지역,7
691,미션,댄스,7
692,시티,프로젝트,7
693,대선,후보,7
694,티슈,상자,7
695,경북,울진,7
696,울진,울진군,7
697,불고기,특화,7
698,현지인,치킨,7
699,치킨,소개,7
700,커뮤니티,터키,7
701,터키,터키식,7
702,본코리아,코리아,6
703,외식물가,물가,6
704,무료,상품권,6
705,외식업소,업소,6
706,평양,평양냉면,6
707,외부,활동,6
708,치킨,브랜드,6
709,매일,매일유업,6
710,매일유업,유업,6
711,롯데백화점,백화점,6
712,푸드,푸드트럭,6
713,추가,지정,6
714,계획,수립,6
715,동선과,선과,6
716,소요,소요시간,6
717,누리,공분,6
718,공사,사장,6
719,체육,부와,6
720,맛과,분위기,6
721,트렌,트렌디,6
722,우수,우수브랜드,6
723,원도,원도심,6
724,동시간대,시간대,6
725,전통,전통음식,6
726,재판매,금지,6
727,코리아,대표,6
728,배달,배달비가,6
729,사업,추진,6
730,플랫폼,민족,6
731,교촌치킨,치킨,6
732,취약,취약계층,6
733,취약계층,계층,6
734,자영업자,커뮤니티,6
735,커뮤니티,배달,6
736,예미정,미정,6
737,카페,사장,6
738,가게,자영업자,6
739,세계적,대유행,6
740,홍보대사,대사,6
741,랜드,랜드마크,6
742,랜드마크,마크,6
743,도미노,도미노피자,6
744,도미노피자,피자,6
745,식품,식품의약품안전처,6
746,코스,코스요리,6
747,코스요리,요리,6
748,골목,골목상권,6
749,골목상권,상권,6
750,감자,감자튀김,6
751,경연,대회,6
752,서울관광재단,관광,6
753,서울시,용산,6
754,분재,분재정원,6
755,분재정원,정원,6
756,애기동백꽃,동백꽃,6
757,도시,전체,6
758,중고,중고거래,6
759,중고거래,거래,6
760,그룹,회장,6
761,하루,평균,6
762,남도음식거리,거리,6
763,버스,버스킹,6
764,카페,카페거리,6
765,카페거리,거리,6
766,요식,요식업계,6
767,통계청,발표,6
768,점심,저녁,6
769,매출,만원,6
770,최대,치킨,6
771,뉴스레터,레터,6
772,무기,연기,6
773,당근,당근마켓,6
774,당근마켓,마켓,6
775,하이브,이브,6
776,자원봉사자,봉사자,6
777,코로나,인해,6
778,할인,쿠폰,6
779,중화요리,요리,6
780,소비자,관심,6
781,파주,파주시,6
782,주밥상,밥상,6
783,잠정,중단,6
784,옥수수,수수,6
785,음식특화거리,특화,6
786,경남관광재단,관광,6
787,민성기,성기,6
788,가족,단위,6
789,논란,해당,6
790,배달,취소,6
791,당한,배달기사,6
792,아파트,음식을,6
793,음식을,배달,6
794,종류,다양,6
795,예당호,당호,6
796,개월간,월간,6
797,주장,논란,6
798,테크,기업,6
799,파주,파주장단콩,6
800,파주개성인삼,개성,6
801,임금님,수라,6
802,수라,수라상,6
803,개최,코로나,6
804,미슐랭,슐랭,6
805,울릉,울릉도,6
806,김초롱,초롱,6
807,기자간담회,간담회,6
808,우리나라,대표,6
809,명이,방문,6
810,다양,먹거리,6
811,소셜네트워크서비스,네트워크,6
812,네트워크,서비스,6
813,축제,축제장,6
814,양재,양재동,6
815,양재동,센터,6
816,공동,공동구매,6
817,공동구매,구매,6
818,소방,소방대원,6
819,화제다,제다,6
820,축제,행사,6
821,감염증,사태,6
822,축제,일간,6
823,게시글,게재,6
824,거리,전면,6
825,해제,처음,6
826,유명,관광지,6
827,안전관리,관리,6
828,기가,완화,6
829,팝업,팝업스토어,6
830,팝업스토어,스토어,6
831,이날,행사,6
832,편식,브랜드,6
833,칠곡,칠곡군,6
834,광주,광주광역시,6
835,브랜드,사업,6
836,조선,조선시대,6
837,조선시대,시대,6
838,특별,이벤트,6
839,국화,국화축제,6
840,축제,대면,6
841,체험,체험행사,6
842,체험행사,행사,6
843,광산,광산구,6
844,벌금,만원,6
845,전북,익산,6
846,홈쇼핑,쇼핑,6
847,축제기간,기간,6
848,홍보,활동,6
849,영국,여성,6
850,동계,올림픽,6
851,고물가,고금리,6
852,나흘,나흘간,6
853,야외,야외활동,6
854,야외활동,활동,6
855,실외,마스크,6
856,착용,의무,6
857,피자,주문,6
858,영산,영산대학교,6
859,영산대학교,대학교,6
860,야외,활동,6
861,온라인쇼핑,쇼핑,6
862,쇼핑,동향,6
863,황교익씨,익씨,6
864,식자재,자재,6
865,공원,개최,6
866,군산,군산시,6
867,대상,설문,6
868,한국인,글로벌,6
869,테이크,테이크아웃,6
870,테이크아웃,아웃,6
871,그동안,코로나,6
872,단독,송종,6
873,송종,송종선,6
874,송종선,부장,6
875,만원,화제,6
876,안성,안성시,6
877,한류,열풍,6
878,대학교,학년,6
879,끼니,해결,6
880,다이스,호텔,6
881,피자,피자집,6
882,할인,혜택,6
883,추석,명절,6
884,우리나라,국민,6
885,하나인,치킨,6
886,분석,전체,6
887,화요일,월요일,6
888,취소,코로나,6
889,확산,우려,6
890,일제,일제강점기,6
891,일제강점기,강점기,6
892,사이드,메뉴,6
893,메뉴,인기,6
894,업소,발굴,6
895,안성맞춤랜드,랜드,6
896,랜드,안성천,6
897,레포츠,레포츠공원,6
898,레포츠공원,공원,6
899,지능,로봇,6
900,가족,지인,6
901,쓰레기,쓰레기통,6
902,여행지인,지인,6
903,티넨,파르나스,6
904,춘천,햄버거,6
905,리오프닝,오프닝,6
906,의혹,유명,6
907,관광코스,코스,6
908,단양,단양구경시장,6
909,단양구경시장,구경,6
910,주장,온라인,6
911,보유,유명,6
912,영상,유튜버,6
913,유튜버,일행,6
914,행각,의혹,6
915,비빔국수,국수,6
916,행각,경찰,6
917,일자리,자리,6
918,김치,김치전,6
919,일상,마음,6
920,우먼,박나래,6
921,요리,유명,6
922,충북,옥천,6
923,남동구,치킨집,6
924,에버랜드,캐리,6
925,코스,추천,6
926,놀이,치킨,6
927,치킨,바비큐,6
928,바비큐,맥주,6
929,맥주,동물원,6
930,동물원,체험,6
931,얼굴,답변,6
932,여름나기,나기,6
933,암호,암호화폐,6
934,암호화폐,화폐,6
935,칠리크랩,크랩,6
936,주요,도시,6
937,식품,식품기업,6
938,식품기업,기업,6
939,이지은,지은,6
940,대표,보양,6
941,야구,야구방망이,6
942,야구방망이,방망이,6
943,건강,메뉴,6
944,년간,공백,6
945,일간,일정,6
946,코로나,지친,6
947,치킨,마리,6
948,하루,종일,6
949,두류야구장,야구장,6
950,굴비,굴비음식거리,6
951,지방,지방자치단체,6
952,지방자치단체,자치,6
953,자치,단체,6
954,문화정보원,정보원,6
955,한국맥도날드,맥도날드,6
956,코로나,거리,6
957,머니,권현수,6
958,권현수,현수,6
959,사건,발생,6
960,코로나,진자,6
961,국제,국제요리,6
962,국제요리,요리,6
963,레스토랑,오픈,6
964,콩나물,콩나물국밥,6
965,자연,건강,6
966,송파구,롯데,6
967,해제,단체,6
968,음식문화거리,거리,6
969,시장,규모,6
970,일부,직원,6
971,선택,지역별,6
972,지역별,정리,6
973,댄스,스테이지,6
974,민주당,이재명,6
975,오미크론,변이,6
976,대통령,당선인,6
977,판매,폭로,6
978,인천,바닥,6
979,전량,폐기,6
980,부족,단백질,6
981,단백질,지방질,6
982,베이징,베이징동계올림픽,6
983,베이징동계올림픽,동계,6
984,광양,불고기,6
985,거리,곡성,6
986,곡성,압록,6
987,압록,참게,6
988,참게,은어,6
989,은어,은어거리,6
990,은어거리,무안,6
991,무안,뻘낙지거리,6
992,뻘낙지거리,낙지,6
993,안심,여행지,6
994,여행지,추천,6
995,광양,광양읍,6
996,광양읍,천변,6
997,천변,숯불,6
998,올림픽,선수촌,6
999,열풍,현지인,6
1000,조명,한국식,6
1001,여행지,선정,6
1002,갈비,갈비찜,5
1003,삼국,삼국시대,5
1004,삼국시대,시대,5
1005,시흥,시흥시,5
1006,고립,한국인,5
1007,상품권,선물,5
1008,평양냉면,냉면,5
1009,한국인,관광객,5
1010,프랜차이즈,그룹,5
1011,철원,철원군,5
1012,가게,사장,5
1013,롯데,롯데백화점,5
1014,인천,서구,5
1015,먹거리,창업,5
1016,친구,가족,5
1017,뉴시스,파이낸셜,5
1018,고객,주문,5
1019,맘카페,카페,5
1020,정보,제공,5
1021,과정,발생,5
1022,부와,한국관광공사,5
1023,지하,위치,5
1024,우수브랜드,브랜드,5
1025,브랜드,대상,5
1026,배달앱,리뷰,5
1027,커뮤니티,리뷰,5
1028,전국,명소,5
1029,중구,명동,5
1030,영업,재개,5
1031,놀이,놀이공원,5
1032,놀이공원,공원,5
1033,메타,메타버스,5
1034,메타버스,버스,5
1035,간편,간편식,5
1036,겨울나기,나기,5
1037,기사,눈길,5
1038,눈길,도착,5
1039,어제,나간,5
1040,나간,전화,5
1041,요리,요리학교,5
1042,요리학교,학교,5
1043,네이버,카페,5
1044,원주,원주시,5
1045,홍보,홍보대사,5
1046,음식값,지불,5
1047,지불,먹튀,5
1048,경찰,신고,5
1049,전국,매장,5
1050,피해,호소,5
1051,커뮤니티,오늘,5
1052,식사,준비,5
1053,드라마,영화,5
1054,매일,정봉,5
1055,정봉,정봉길,5
1056,정봉길,단양,5
1057,데믹,시대,5
1058,감자튀김,튀김,5
1059,먹자,먹자골목,5
1060,먹자골목,골목,5
1061,안심,안심식당,5
1062,수성,수성구,5
1063,민족,형제,5
1064,대표,관광지,5
1065,주최,주관,5
1066,제주관광공사,관광,5
1067,현대,현대카드,5
1068,현대카드,카드,5
1069,복합,복합문화공간,5
1070,시청률,조사,5
1071,불꽃,불꽃축제,5
1072,불꽃축제,축제,5
1073,거래,플랫폼,5
1074,최우수,수상,5
1075,루프,루프톱,5
1076,촌호수,호수,5
1077,고성,고성군,5
1078,연구,개발,5
1079,불고기,전골,5
1080,오징어,오징어게임,5
1081,오징어게임,게임,5
1082,씨푸드,푸드,5
1083,검색,검색창,5
1084,자원,자원봉사자,5
1085,오픈,오픈런,5
1086,티웨이항공,웨이,5
1087,웨이,항공,5
1088,인천,노선,5
1089,행사,참여,5
1090,스페셜,메뉴,5
1091,지역사회,사회,5
1092,기도,하다,5
1093,전국,최초,5
1094,베트남,태국,5
1095,촬영,제공,5
1096,대경대,경대,5
1097,별점,리뷰,5
1098,신용,신용카드,5
1099,이태,이태형,5
1100,추진,추진위원회,5
1101,추진위원회,위원회,5
1102,위원회,주관,5
1103,갑질,당한,5
1104,무침,무침회,5
1105,주문,고객,5
1106,커뮤니티,배달앱,5
1107,메모,논란,5
1108,패턴,변화,5
1109,캡처,배우,5
1110,공개,예능,5
1111,박효주,배달,5
1112,논란,확산,5
1113,직접,입장,5
1114,이유,주문,5
1115,배달원,배달,5
1116,이유,회수,5
1117,찰떡,찰떡궁합,5
1118,찰떡궁합,궁합,5
1119,치킨,피자,5
1120,온라인,온라인동영상서비스,5
1121,온라인동영상서비스,동영상,5
1122,동영상,서비스,5
1123,만족,미식,5
1124,리치,리치리치페스티벌,5
1125,리치리치페스티벌,페스티벌,5
1126,사이버,대학교,5
1127,권태,권태혁,5
1128,남미,축제,5
1129,클럽,스파,5
1130,변화,시대,5
1131,주제,전국,5
1132,최대,농어,5
1133,농어,농어업군인,5
1134,농어업군인,군인,5
1135,영상,게재,5
1136,관광지,방문,5
1137,수제버거,버거,5
1138,다양,볼거리,5
1139,평창,평창군,5
1140,거리,곳곳,5
1141,남미,남미남,5
1142,남미남,축제,5
1143,백두,백두대간,5
1144,백두대간,대간,5
1145,지역축제,축제,5
1146,자율,자율주행,5
1147,자율주행,주행,5
